SR Number,Address,RequestDate
SR23-02133639,3023 S LOOMIS,12/10/2023, 2:17:07 PM,1
SR23-02133641,3021 S LOOMIS,12/10/2023, 2:17:21 PM,1
SR23-02133642,3019 S LOOMIS,12/10/2023, 2:17:35 PM,1
SR23-02133643,3017 S LOOMIS,12/10/2023, 2:17:49 PM,1
SR23-02133644,3015 S LOOMIS,12/10/2023, 2:18:02 PM,1
SR23-02133645,3013 S LOOMIS,12/10/2023, 2:18:16 PM,1
SR23-02136939,2825 S ARCHER,12/11/2023, 9:46:27 AM,1,Parkway
SR23-02136941,2827 S ARCHER,12/11/2023, 9:46:57 AM,1,Parkway
SR23-02136943,2829 S ARCHER,12/11/2023, 9:47:12 AM,1,Parkway
SR24-00581327,1123 W 31ST ST,3/31/2024, 9:27:50 PM,1,Parkway
SR24-00581328,1139 W 31ST ST,3/31/2024, 9:28:11 PM,1,Parkway
SR24-00581329,1164 W 31ST ST,3/31/2024, 9:28:31 PM,1,Parkway
SR24-00581330,1231 W 31ST ST,3/31/2024, 9:28:51 PM,1,Parkway
SR24-00581333,1252 W 31ST ST,3/31/2024, 9:29:12 PM,1,Parkway
SR24-00581335,1250 W 31ST ST,3/31/2024, 9:29:33 PM,1,Parkway
SR24-00581337,1254 W 31ST ST,3/31/2024, 9:29:53 PM,1,Parkway
SR24-00581338,1260 W 31ST ST,3/31/2024, 9:30:14 PM,1,Parkway
SR24-00581339,1300 W 31ST ST,3/31/2024, 9:30:34 PM,1,Parkway
SR24-00581341,1304 W 31ST ST,3/31/2024, 9:30:54 PM,1,Parkway
SR24-00581342,1302 W 31ST ST,3/31/2024, 9:31:15 PM,1,Parkway
SR24-00581346,2998 S ARCHER AVE,3/31/2024, 9:31:37 PM,2, along side parkway
SR24-00581348,3012 S ARCHER AVE,3/31/2024, 9:31:58 PM,1,Parkway
SR24-00581349,3020 S ARCHER AVE,3/31/2024, 9:32:19 PM,1,Parkway
SR24-00581444,3318 S Halsted St,3/31/2024, 10:13:32 PM,1,Parkway
SR24-00581445,3322 S Halsted St,3/31/2024, 10:13:48 PM,1,Parkway
